,album_id,album_title,album_rd,album_seq,track_id,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,6egaEe9JaULuUCkihSnYlH,2 Cool 4 Skool,2013-06-12,1,1UlnDZ5ubsSX3xrXu063dZ,Intro: 2 Cool 4 Skool,51,0.894,0.835,8,-6.249,1,0.245,0.179,0.266,0.179,0.532,94.871,audio_features,1UlnDZ5ubsSX3xrXu063dZ,spotify:track:1UlnDZ5ubsSX3xrXu063dZ,https://api.spotify.com/v1/tracks/1UlnDZ5ubsSX3xrXu063dZ,https://api.spotify.com/v1/audio-analysis/1UlnDZ5ubsSX3xrXu063dZ,63787,4
1,6egaEe9JaULuUCkihSnYlH,2 Cool 4 Skool,2013-06-12,2,5pjHS3EpHurMyIpB2QBnEd,We Are Bulletproof Pt.2,65,0.753,0.95,8,-5.09,0,0.16,0.0104,6.32e-06,0.134,0.868,144.02,audio_features,5pjHS3EpHurMyIpB2QBnEd,spotify:track:5pjHS3EpHurMyIpB2QBnEd,https://api.spotify.com/v1/tracks/5pjHS3EpHurMyIpB2QBnEd,https://api.spotify.com/v1/audio-analysis/5pjHS3EpHurMyIpB2QBnEd,223933,4
2,6egaEe9JaULuUCkihSnYlH,2 Cool 4 Skool,2013-06-12,3,4Ut6UU8Yyihz1jCZWSCQpu,Skit: Circle Room Talk,44,0.598,0.356,9,-18.009,1,0.802,0.912,0.0,0.913,0.817,121.045,audio_features,4Ut6UU8Yyihz1jCZWSCQpu,spotify:track:4Ut6UU8Yyihz1jCZWSCQpu,https://api.spotify.com/v1/tracks/4Ut6UU8Yyihz1jCZWSCQpu,https://api.spotify.com/v1/audio-analysis/4Ut6UU8Yyihz1jCZWSCQpu,131907,3
3,6egaEe9JaULuUCkihSnYlH,2 Cool 4 Skool,2013-06-12,4,089PFeXotzDLNQz9NCk6pF,No More Dream,66,0.438,0.864,2,-5.185,1,0.47,0.0118,1.66e-06,0.431,0.594,167.898,audio_features,089PFeXotzDLNQz9NCk6pF,spotify:track:089PFeXotzDLNQz9NCk6pF,https://api.spotify.com/v1/tracks/089PFeXotzDLNQz9NCk6pF,https://api.spotify.com/v1/audio-analysis/089PFeXotzDLNQz9NCk6pF,222067,4
4,6egaEe9JaULuUCkihSnYlH,2 Cool 4 Skool,2013-06-12,5,2QVXLAI2Io3tDmhFOSumr0,Interlude,51,0.914,0.276,1,-13.392,0,0.319,0.494,0.762,0.392,0.854,125.897,audio_features,2QVXLAI2Io3tDmhFOSumr0,spotify:track:2QVXLAI2Io3tDmhFOSumr0,https://api.spotify.com/v1/tracks/2QVXLAI2Io3tDmhFOSumr0,https://api.spotify.com/v1/audio-analysis/2QVXLAI2Io3tDmhFOSumr0,52440,4
5,6egaEe9JaULuUCkihSnYlH,2 Cool 4 Skool,2013-06-12,6,55Ctj6nVfobn9AcPe6sLG2,Like,74,0.737,0.723,0,-4.165,0,0.0705,0.303,0.0,0.26,0.783,100.939,audio_features,55Ctj6nVfobn9AcPe6sLG2,spotify:track:55Ctj6nVfobn9AcPe6sLG2,https://api.spotify.com/v1/tracks/55Ctj6nVfobn9AcPe6sLG2,https://api.spotify.com/v1/audio-analysis/55Ctj6nVfobn9AcPe6sLG2,231893,4
6,6egaEe9JaULuUCkihSnYlH,2 Cool 4 Skool,2013-06-12,7,1GPIdEcxPjPIYGmN08b1yf,Outro: Circle Room Cypher,47,0.688,0.515,7,-11.608,1,0.523,0.536,0.0,0.189,0.852,94.077,audio_features,1GPIdEcxPjPIYGmN08b1yf,spotify:track:1GPIdEcxPjPIYGmN08b1yf,https://api.spotify.com/v1/tracks/1GPIdEcxPjPIYGmN08b1yf,https://api.spotify.com/v1/audio-analysis/1GPIdEcxPjPIYGmN08b1yf,323640,4
7,6rWmdSJIaGTVtdMJQ35Lvf,"O!RUL8,2?",2013-09-11,1,3FdanLGasOj37Xi316GfZ4,"Intro: O!RUL8,2?",51,0.455,0.9,7,-5.029,1,0.393,0.272,0.0,0.0945,0.188,150.14,audio_features,3FdanLGasOj37Xi316GfZ4,spotify:track:3FdanLGasOj37Xi316GfZ4,https://api.spotify.com/v1/tracks/3FdanLGasOj37Xi316GfZ4,https://api.spotify.com/v1/audio-analysis/3FdanLGasOj37Xi316GfZ4,70531,4
8,6rWmdSJIaGTVtdMJQ35Lvf,"O!RUL8,2?",2013-09-11,2,7JosxtkCqIQieNWXA2Dj3v,N.O,60,0.595,0.914,11,-3.764,0,0.166,0.0389,0.0,0.457,0.572,146.89,audio_features,7JosxtkCqIQieNWXA2Dj3v,spotify:track:7JosxtkCqIQieNWXA2Dj3v,https://api.spotify.com/v1/tracks/7JosxtkCqIQieNWXA2Dj3v,https://api.spotify.com/v1/audio-analysis/7JosxtkCqIQieNWXA2Dj3v,209752,4
9,6rWmdSJIaGTVtdMJQ35Lvf,"O!RUL8,2?",2013-09-11,3,29vOLabxvytbI8fX9xgTaD,We On,56,0.801,0.797,2,-4.319,0,0.163,0.0405,2.39e-06,0.115,0.801,97.009,audio_features,29vOLabxvytbI8fX9xgTaD,spotify:track:29vOLabxvytbI8fX9xgTaD,https://api.spotify.com/v1/tracks/29vOLabxvytbI8fX9xgTaD,https://api.spotify.com/v1/audio-analysis/29vOLabxvytbI8fX9xgTaD,230885,4
