"","Artist","Album_Name","Track_Title","Track_Id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","Y"
"1","Shinhwa","13TH UNCHANGING - TOUCH","HEAVEN","0ZSEU7nhmeJ3NZbvBQBDdn",0.664,0.698,7,-5.484,1,0.0416,0.404,1.38e-06,0.147,0.347,130.004,245440,4,20
"2","Shinhwa","13TH UNCHANGING - TOUCH","TOUCH","5HbUEzzSJx2NwL3vdbHScK",0.702,0.752,10,-5.446,1,0.159,0.323,0,0.0754,0.929,137.914,217587,4,23
"3","Shinhwa","13TH UNCHANGING - TOUCH","SUPER POWER","0urFb6VKPvAR9fMaGJNfPi",0.683,0.788,2,-4.879,0,0.0758,0.172,4.48e-06,0.118,0.647,88.018,230253,4,23
"4","Shinhwa","13TH UNCHANGING - TOUCH","TONIGHT","0O9qkEow6or66W8cCAisQX",0.469,0.851,6,-5.092,0,0.276,0.0161,0,0.0988,0.562,200.162,214773,4,17
"5","Shinhwa","13TH UNCHANGING - TOUCH","BYE BYE BYE","6ZLK62sRycbMIx6p6yfi1I",0.729,0.843,5,-3.095,0,0.0936,0.171,0,0.107,0.861,93.94,202520,4,15
"6","Shinhwa","13TH UNCHANGING - TOUCH","WE","0kMsW2DKvNZ5NxWIDIVqfq",0.383,0.849,0,-4.453,1,0.127,0.027,0,0.225,0.91,187.836,175240,4,13
"7","Shinhwa","13TH UNCHANGING - TOUCH","ORANGE","42HIPLp3pegMi7MvtoRmhl",0.775,0.743,10,-4.403,1,0.0402,0.124,0,0.12,0.747,111.047,247480,4,23
"8","Shinhwa","13TH UNCHANGING - TOUCH","SHE SAID","2mkmYRSx4oZhH7Oog3Gong",0.691,0.704,0,-5.696,1,0.0534,0.492,0,0.385,0.83,96.499,221685,4,16
"9","Shinhwa","13TH UNCHANGING - TOUCH","LIKE A STAR","0gRrmAHz01SIUZ2lly7Nsi",0.386,0.795,0,-4.553,1,0.0492,0.074,0,0.185,0.413,83.531,224480,4,16
"10","Shinhwa","13TH UNCHANGING - TOUCH","#CHOCOLAT","2ExQwVwYpOv0bIkchGki78",0.736,0.918,6,-4.875,0,0.0974,0.0413,4.35e-06,0.056,0.779,114.005,214320,4,13
"11","Shinhwa","WE","ALRIGHT","6h1coT5IZwjiQuP7ExKLUL",0.755,0.907,4,-3.808,0,0.0669,0.121,0,0.0572,0.758,102.068,203383,4,22
"12","Shinhwa","WE","고양이","1tzKz50QWlx21uD9T0zTW7",0.781,0.75,0,-5.409,1,0.0396,0.00955,0,0.051,0.668,101.998,209905,4,17
"13","Shinhwa","WE","표적","37mCIFUcC0NEXtdpUcevkT",0.666,0.941,10,-3.337,0,0.323,0.235,0,0.201,0.699,84.859,198840,4,30
"14","Shinhwa","WE","WHITE SHIRTS","5TSnBBkY3kou1aW1cC9svR",0.564,0.679,2,-5.38,1,0.0663,0.276,0,0.145,0.189,75.879,278587,4,13
"15","Shinhwa","WE","DON'T CRY","2zjAF69IXitCejvt4OSK6J",0.637,0.81,0,-4.485,1,0.0471,0.0939,0,0.187,0.555,130.016,219363,4,16
"16","Shinhwa","WE","얼음달","2nOtJqFoypkLfUch05gpOM",0.574,0.579,1,-6.497,0,0.523,0.073,0,0.123,0.778,197.386,200453,4,11
"17","Shinhwa","WE","GIVEIT 2 ME","35VX0ouorMUFqiX55NWSje",0.845,0.857,1,-3.523,1,0.189,0.222,0,0.153,0.91,115.015,193948,4,12
