id,album_title,eng_album_title,album_rd,album_seq,track_title,kor_track_title,eng_track_title,lyrics,hidden_track,remix,featured,performed_by,repackaged,lang,has_full_ver
0,2 Cool 4 Skool,2 Cool 4 Skool,2013-06-12,1,Intro: 2 Cool 4 Skool (ft. DJ Friz),,Intro: 2 Cool 4 Skool (ft. DJ Friz),"we’re now going to progress to some steps
which are a bit more difficult
ready, set, and begin
big hit exclusive, exclusive
dj friz
who’s that?
b, a, n, g, t, a, n
bulletproof boy scouts
(do it)
2 cool, 2 cool 4 skool
2 cool, 2 cool 4 skool
teenagers in their 10s and 20s
let's talk about it easily
you take that
2 cool, 2 cool 4 skool
2 cool, 2 cool 4 skool
teenagers in their 10s and 20s
let's talk about it easily
you take that",FALSE,FALSE,DJ Friz,RM,FALSE,KOR,FALSE
1,2 Cool 4 Skool,2 Cool 4 Skool,2013-06-12,2,We Are Bulletproof Pt.2 ,,We Are Bulletproof Pt.2,"(what) give it to me
 (what) be nervous
 (what) the one to end it all
 (what) we are bulletproof
 we are bulletproof
 bulletproof
 
 the name is jungkook, my scale is nationwide
 i pulled all-nighters at practice rooms
 instead of school, dancing and singing
 while you guys partied
 i gave up sleep for my dreams
 i spent all night holding a pen
 closing my eyes only after the morning sun rises
 my limit was broken in the
 double standards and many oppositions
 but i got lucky and was contacted by an agency
 yall you who are called rappers because you can’t sing
 the rapper title is an extravagance for you
 
 everywhere i go, everything i do
 i will show you, as much as i sharpened my sword
 to all the people who looked down on me
 (oh oh oh oh oh oh) hey shout it out
 
 oh! throw a stone at me if you’ve done as much as i did
 we go hard, we have no fear
 (click click, bang bang) we just sing it like
 (click click, bang bang) we just sing it like
 oh! throw a stone at me if you’ve done as much as i did
 we go hard, we have no fear
 (click click, bang bang) we just sing it like
 (click click, bang bang) we just sing it like
 
 (what) give it to me
 (what) be nervous
 (what) the one to end it all
 (what) we are bulletproof
 we are bulletproof
 bulletproof
 
 look at my profile, there’s nothing there yet
 still a trainee and rapper man
 yeah i do know that’s nothing
 i contemplated a lot but now i don’t need anything
 you’re still an amateur
 i’m in the majors, hope you’ll rot like that
 rap monster, like my name
 i can eat up any kind of beat like a monster
 i’m loyal to my name, guys come here, take a preview
 i put a twist to being an idol
 haha, hyungs who only had hip-hop pride
 told me it’d be impossible but
 look carefully, i place a period after impossible
 i’m possible, now are we all set, boy?
 
 everywhere i go, everything i do
 i will show you, as much as i sharpened my sword
 to all the people who looked down on me
 (oh oh oh oh oh oh) hey shout it out
 
 oh! throw a stone at me if you’ve done as much as i did
 we go hard, we have no fear
 (click click, bang bang) we just sing it like
 (click click, bang bang) we just sing it like
 oh! throw a stone at me if you’ve done as much as i did
 we go hard, we have no fear
 (click click, bang bang) we just sing it like
 (click click, bang bang) we just sing it like
 
 (what) give it to me
 (what) be nervous
 (what) the one to end it all
 (what) we are bulletproof
 we are bulletproof
 bulletproof
 bulletproof",FALSE,FALSE,,BTS,FALSE,KOR,FALSE
2,2 Cool 4 Skool,2 Cool 4 Skool,2013-06-12,3,Skit: Circle Room Talk ,,Skit: Circle Room Talk,"rap monster: it was a big hit
v: year 2006!
rap monster: fly music video, that was a big hit
suga: white shirt and red tie, i used to follow that but in 6th grade
rap monster: so did i
v: it doesn’t suit hyung, huh?
rap monster: what is this?
jin: hey, the bell rang. let’s go!
j-hope: ah, why are you being like this just because the bell rang? why are you being like this, come on!
v: i will not go
j-hope: let’s skip for once!
suga: yeah. take it. take it from epik high.
rap monster: yeah, so i started producing that song right after hearing fly!
suga: this suga-nim also started rapping after hearing that~
rap monster: it’s the exact same!
j-hope: it’s all the same
rap monster: so while we were listening to fly, what was our hobi hope doing?
j-hope: unlike everyone who raps, i was practicing my dancing!
jimin: right
v: oh, natural dancing skills?
j-hope: i bet jimin was doing the same?
jimin: of course i was! is there no one else here who’s dreamt of dancing?
rm/suga/v: ... there’s no one!
jimin: (laughing)
v: nobody, go away!
j-hope: there’s no dancing!
jimin: one person...
rap monster: i just got static right now
jimin: no one? (laughs)
rap monster: i just thought everyone was worried
jimin: one second static!
suga: taehyung, taehyung, what was your dream?
v: i played the saxophone for three years.
suga: but why don’t you do it anymore?
v: ah…
jimin: saxophone?
v: because my mouth hurts...
bts: (laughs)
suga: your mouth hurts?
j-hope: (laughs) yeah, your mouth must hurt
rap monster: you’re really hypocritical
v: my mouth hurts
suga: your mouth must have hurt a lot
jimin: that's a huge reason
rap monster: my heart hurts hearing that
suga: our jin hyung, what did you want to do? hyung?
jin: me? i, like my dad, wanted to leave the house at 7am and come back at 6pm and eat whatever my wife cooked me.
j-hope: as usual
v: oh~ oh, really?
rap monster: yeah, i like that, it's the best!
jin: that's the best
rap monster: what’s the use of hip hop? that’s the best
v: what?
jimin: but you can’t just throw away hip hop like that, hyung! (laughs) why did you do it? (laughs)
j-hope: you’ve thrown away hip hop so coolly!
rap monster: don’t insult my dad!
jimin: why are you throwing it away?
rap monster: don’t, don’t insult my dad!
suga: jungkook-ah!
jungkook: yeah? yeah? yeah? yeah?
suga: jungkook, what was your dream?
jungkook: me? ah… i can’t remember well…
(door knocking)
teacher: you brats! what are you doing, not going to class? (ah, so loud, so loud) this hip-hop club, i seriously have to break it off
jungkook: we're going, we're going
teacher: you brats, hurry up!
rap monster: we're going, we're going, we're going
j-hope: all right",FALSE,FALSE,,BTS,FALSE,KOR,FALSE
3,2 Cool 4 Skool,2 Cool 4 Skool,2013-06-12,4,No More Dream ,,No More Dream,"hey, what's your dream?
 hey, what’s your dream?
 hey, what's your dream?
 hey, is that your dream?
 
 i wanna big house, big cars & big rings
 but in reality, i don't have any big dreams
 haha i live an easy life
 even if i don’t dream, no one says anything to me
 everyone is thinking the same as me
 when we were still young i said i'll go to some university
 okay, mum, i'm going to the library
 
 what is you that you dreamed of?
 who do you see in your mirror, i gotta say
 go your own way
 even if you live a day
 do something
 put weakness away
 
 why don't you say anything? you don't want to study
 you're too afraid to quit the school, right? see, you're getting ready for school
 grow up, don't just talk, you have a weak mind boy
 (stop!) ask yourself, when did you try hard
 
 hey, what’s your dream?
 hey, what’s your dream?
 hey, what's your dream?
 hey, is that your dream?
 
 it’s a lie you're such a liar
 see me, see me ya, you're hypocrite
 why are you telling me to go another way? do well yourself!
 don't push others!
 (la la la la la)
 what’s you dream? what's your dream?
 (la la la la la)
 is that your dream? is that your dream?
 
 boring same day, every day repeats
 adults and parents tell us the same dream
 future job number one, public officials?
 it's not a forced dream, a relief pitcher
 
 throw a fastball to the self-study time that is a waste of time
 disobey the hell-like society pardon the dream
 ask yourself 'bout the profile of your dream
 become the subject of your own life, away from suppression
 
 what is you that you dreamed of?
 who do you see in your mirror, i gotta say
 go your own way
 even if you live a day
 do something
 put weakness away
 
 hey, what's your dream?
 hey, what's your dream?
 hey, what's your dream?
 hey, is that your dream?
 
 it's a lie you're such a liar
 see me, see me ya, you're hypocrite
 why are you telling me to go another way? do well yourself!
 don't push others!
 (la la la la la)
 what's you dream? what's your dream?
 (la la la la la)
 is that your dream? is that your dream?
 
 don't know how to live
 don't know how to fly
 don't know how to decide
 don't know how to dream now
 open, open, open your eyes again
 dance, dance, dance again
 dream, dream, dream again
 don't hesitate, don't hesitate, wassup!
 
 it's a lie you're such a liar
 see me, see me ya, you're hypocrite
 why are you telling me to go another way? do well yourself!
 don't push others!
 (la la la la la)
 what's you dream? what's your dream?
 (la la la la la)
 is that your dream? is that your dream?
 
 to all the youngsters without dreams",FALSE,FALSE,,BTS,FALSE,KOR,FALSE
4,2 Cool 4 Skool,2 Cool 4 Skool,2013-06-12,5,Interlude,,Interlude,,FALSE,FALSE,,BTS,FALSE,NA,FALSE
5,2 Cool 4 Skool,2 Cool 4 Skool,2013-06-12,6,좋아요 (I Like It) ,좋아요,I Like It,"wanna be loved…

don’t wanna be fool wanna be cool
wanna be loved same love as you
baby i want it

on every picture you post
a guy i've never seen before likes it... who is he?
oh right i'm not your boyfriend anymore
i somehow naturally typed out your phone number
but calling or texting you is like losing
if i don't say anything
i don't think you'll even care about me
why isn't there a dislike button
i don't like becoming one of those thirty likes from here and likes from there
saying ""let's meet up once"" and ""oh why are you so pretty""
uh f**k that all stupid b*******s
you're not even mine anymore but why do i feel like you're being taken away
haha you're living fine without me
i don't wanna see it so stop partying so hard
i swallow the curses that rose up to my throat
and again today i press the like button, shit

after we broke up you look better, pretty woman
yeah yeah yeah yeah
annoyingly, you still look good, pretty woman
oh pretty woman

don’t wanna be fool, wanna be cool
wanna be loved, same love as you
i know it’s over
don’t wanna be fool, wanna be cool
wanna be loved, same love as you
baby, i want it

my friend clicked like on your photo
and i see that your face looks much better
you tag tag a photo with your new boyfriend
through that i'm backspace-ing into the memories
in that world everything has stopped
so why am i still stuck in those times?
do you think of me, do you?
i contemplate if i should click like or not
it repeats many times
your heart is like a guillotine
cutting me mercilessly
but, like a goblin, i secretly go to you
and watch your daily life
each time my mind gets filled with the 108 defilements
oh shit, do you think of me, do you?
as i contemplate, i decide not to click like

after we broke up you look better, pretty woman
yeah yeah yeah yeah
annoyingly you still look good, pretty woman
oh pretty woman

don’t wanna be fool, wanna be cool
wanna be loved, same love as you
i know it’s over
don’t wanna be fool, wanna be cool
wanna be loved, same love as you
baby, i want it

as i wonder how you're doing, the likes are shining
you, the one living fine without me
why did i think of you? the only thing that finds me is pity for myself
i'll press the button on your post and go
this is how i've been spending my time without you recently
know you want it

after we broke up you look better, pretty woman
yeah yeah yeah yeah
annoyingly you still look good, pretty woman
oh pretty woman

don’t wanna be fool wanna be cool
wanna be loved same love as you
i know it’s over
don’t wanna be fool wanna be cool
wanna be loved same love as you
baby i want it",FALSE,FALSE,,BTS,FALSE,KOR,FALSE
6,2 Cool 4 Skool,2 Cool 4 Skool,2013-06-12,7,Outro: Circle Room Cypher,,Outro: Circle Room Cypher,"hurry up, hurry-hurry-hurry-hurry-hurry-hurry-hurry
 school is over!
 i'm hungry, i'm hungry
 i wanna eat nanakon...
 i'm hungry, i'm hungry... i'm hungry
 (school is finally over~)
 ah hyung, go, go, go
 (finally~)
 i'll give you 500 won, come back with 600 won
 quiet, quiet, quiet! hey, i wrote a killer beat
 again? again?
 (we record every day...
 what do we always record)
 i know we record everyday, but!
 but!
 but!
 but!
 again is alright
 again? damn
 it's alright
 just as expected...
 i know, i know, i know
 let's enjoy, same day!
 it's okay to do it every day
 tiresome same beat!
 should i, haha, should i play it? should i not?
 okay, let's listen, listen
 you guys judge!
 okay, okay
 we'll see how well you've recorded it
 play? hey, do i play it? do i play it?
 do it well!~
 it's alright!
 really?
 hey, how is it? how is it?
 it's not bad
 i like it
 it's great
 hey, it's been a while, how about a cypher?
 cypher?
 cypher!~
 let's go big with a cypher, shall we?
 ahh~ i'm nervous!
 let's do it, yes?
 hyung you go first, hyung first, hyung first
 yo, hey, alright then, we'll start with me
 go suga, go...
 suga! okay, i'll start, yo, uh
 (go suga! go suga! go suga!)
 suga, uh, yo, uh
 
 my name is s-u-g-a
 other rappers are all behind me
 same as always, i tease my tongue
 this way and that over this beat
 all your rap makes me sleepy
 shall we rewind the cd?
 our music makes the women cry
 our name is bangtan
 what's coming out of your mouth right now... exclamation?
 (exclamation?!)
 hey, don't fool around
 who's next? next, next
 oh, this music is good
 (rap monster?)
 who? rapmon?
 now, get this
 yo rapmon! yo rapmon!
 
 i'm a cool boy
 i'm a nice boy
 but my voice is low
 you're one shot, i'm four shots
 i'm the igatan that heals you
 you can do rap, i do it well
 you are ribbon pig
 i do it with my feet
 comme des, rolex, dior, hermes
 all words that suit me
 but for you, it's 'tacky or trashy'
 no, 'pompeii'
 you just erupted, cover up those mountains
 wait, guys, i need to pee
 oh~ho~!
 nwappwappwappwa wow
 seriously, i need to go
 go jungkook! go jungkook! (jeon jungkook!)
 go jungkook! (jeon jungkook!)
 today again, got ya
 my time freestyle rapping
 if you measure up, it's brand name setting
 suited to an mc, all that mcm
 gucci, alexander mcqueen
 this isn't my first time rapping
 it's different now, i'm walking along the beat
 i cover them all during the summer, then i catch them all
 jungkook, look at me, look at me, look at me
 wahhh~!!
 who's next? who's next? next
 ah, should i do it?
 go taehyung! go taehyung! go taehyung!
 then i'll go, cypher
 alright, so i heard the hyungs rap well
 namjoon hyung's lyrics, he's all mature now
 their rap skills are nearly back to back
 it's compliment, now quit it
 hobi hyung is in front of me, he's getting tense now
 what's making you nervous? go make us some kimchi
 daegu dialect, it's alive!
 yoongi hyung, you alive, son
 aaah~!!
 he's alive!
 now j-hope has to come forth, j-hope, okay?
 hobi on his way! hobi on his way!
 (hope-hope-hope-hope)
 (uh uh yo uh yo)
 this is a skit in our music
 i'll show you my blade-like skill
 my, my, my, my, my name is j-hope
 i'm so cool, i don't even leave a trace
 like that pose
 god damn, i'm the hip hop that gwangju gave birth to
 this is the start to jeolla-do's rap
 i'll shake you up until you go bust
 because we're really smashing
 (oh~ohh~!)
 ok, now jin hyung?
 go march! go march! go march!
 (oh, jin hyung is also gonna do it?)
 ya ah, it's getting bigger
 yeah
 my name is jin (jin!)
 i'm the most handsome
 my nickname, jindda
 but keep shaking your books, you'll fall out, yeah
 (yeah, and then what?)
 yeah, so my nickname is jin (jin!)
 so my stage name is jin (jin~!)
 hey, who, who, who's left?
 yo uh, jimin?
 shall i show you? shall i show the strength of the vocal team?
 go jimin! go jimin! go jimin!
 yo, yo, my name is jimin
 my rap makes the vocal team wet their pants
 taehyung, please get up, you smell a little fishy
 look me up in advance
 ah...... what was that... leave, leave, leave, leave
 ah, what was that, go then
 (go, go, go, go...)
 sorry
 i knew you were gonna diss me
 i won't do it again
 i don't think you should rap... go...
 (migrate, migrate, migrate, migrate) (go migrate)
 sorry!
 (sorry hahahaha)
 leave!
 hey, now that our cypher's over, how about we go out and eat?
 (to incheon?)
 i don't wanna eat
 (what, ah, i'm so hungry i could die)
 hey, suga, let's go eat lobster soondae
 let's go! i'll treat you all!
 i get sick, i'm not gonna eat any
 hey, let's go
 only nanakon from earlier
 see ya tomorrow, namjoon
 hey, i'm leaving, namjoon
 seriously, this is too much
 hyung, we're leaving
 go! go go! go!
 stay put~",FALSE,FALSE,,BTS,FALSE,KOR,FALSE
7,2 Cool 4 Skool,2 Cool 4 Skool,2013-06-12,8,Skit: On The Start Line ,,Skit: On The Start Line,"ah-ah
trainee
in many ways, this term defines my existence
but at the same time it is a term that i can never truly explain
a period of time, a state of transition
where i could neither belong anywhere
nor do anything
the biggest concerns i had living as a trainee
were the questions of friends and family
""when are you going to come out?""
""when are you going to debut?""
questions like these
i couldn’t give them an answer
because i didn’t know either
because such answers were unknowable
though i came here through a certain confidence
and belief in myself
what awaited me was a different kind of reality:
even now, after three years have passed
even as i occasionally gain the self-certainty to think things like
“once i debut, i will conquer the music industry”
whenever i hear the criticisms of the producers and teachers
i am again overwhelmed by the realization that i am nothing
that i am as inconsequential as a speck of dust
it’s as if though before me lies the bluest ocean
and if i turn to look back
a vast desert awaits me
in this hourglass-like mindset
in this mood
i spent my three years as a trainee
and now, my debut is finally drawing near
even after i debut
new oceans and new deserts will likely await me
i am not afraid
because what has made me who i am
are the oceans and deserts i have witnessed until this moment
i will never forget
the oceans and deserts i have seen
because i am a trainee",TRUE,FALSE,,BTS,FALSE,KOR,FALSE
8,2 Cool 4 Skool,2 Cool 4 Skool,2013-06-12,9,길 (Road/Path) ,길,Road/Path,"yeah, wassup
you know, time flows like stars
(check it, check, check, check, check it out)

it started with eminem, garion, epik high
i exceed imitation, i write my own rap then carve them in
somehow found myself at hongdae already
back then, my lyrics were all (****) stubborn old
but we dunno, we dunno, we dunno the future
allowed no time to breathe and tied me up while i was dreaming
the trap of an abandoned reality, oh the trap of one’s youth
my fiery heart lost to my cold head (damn)
while i had blind faith that my choice was the right one
something that i can’t identify as an angel or devil says
“wouldn’t you like to rap properly?
yes or no, there is no time to hesitate”
i, who didn’t want to make an even bigger idiot out of myself
came to this place and 3 years have since passed
some say art is long, life is short
but now for me, art is life
life is sports
just do it, uh

would i have changed?
if i had chosen a different path
if i had stopped and looked back
oh hey ya, hey ya
what will i get to see?
at the end of this road
where you would be standing
oh hey ya, hey ya

countless measures of time have passed and it’s 2013
i remained a trainee for 3 years
i’ve changed from a high school student
became an adult child, without knowing
grey hairs of greed and ambition increase
and the many friends i had split off one by one
lonely without family
i greet my third spring in seoul alone
i thought my worries will ease with the debut in front of my nose
i closed my eyes to the present that could not be altered
reality was different, even when my peers tried to help me
i walked the lightless tunnels on my own
i thought i was alone but i’ve learned that we are seven
no longer barefoot, wearing shoes called bangtan
we go on forward another step, newer than the last
towards the fourth spring, we’ll greet in seoul, woah

would i have changed?
if i had chosen a different path
if i had stopped and looked back
oh hey ya, hey ya
what will i get to see?
at the end of this road, where you would be standing
oh hey ya, hey ya

it’s the year 2010
my steps head to seoul
i, who started out just loving dance
is soon to stand on stage
until then i combat the many pains and scars and prepare myself
i nurture my notion to bend rather than to break
and run for 3 years
and ignite the stars in my heart
now see me anew
i carve ‘bangtan’ into a blank page that means the whole world
i walk towards my brighter future
i put on a smile for the further days, ha ha

would i have changed?
if i had chosen a different path
if i had stopped and looked back
oh hey ya, hey ya
what will i get to see?
at the end of this road, where you would be standing
oh hey ya, hey ya

would i have changed?
if i had chosen a different path
if i had stopped and looked back
oh hey ya, hey ya
what will i get to see?
at the end of this road, where you would be standing
oh hey ya, hey ya",TRUE,FALSE,,BTS,FALSE,KOR,FALSE
9,"O!RUL8,2?","O!RUL8,2?",2013-09-11,1,"Intro: O!RUL8,2? ",,"Intro: O!RUL8,2? ","nothing lasts forever
you only live once
so live your life, not any other’s lives
take chances and never regret, never
never be late to do what you wanna do right now
because at one point of someday
everything you did
would be exactly what you will be
right?
my father told me to enjoy life
i want to ask my father if he enjoyed his life
i want to ask why the natural became unnatural
and why the unnatural became natural
why am i not in my life and
in some other person’s life?
this is real, it isn’t a gamble or a game
it’s just one life
who are you living for?
my heart stopped when i was nine or ten
put your hand on your heart
and ask what you dream was
what it really was",FALSE,FALSE,,RM,FALSE,KOR,FALSE
