"","Artist","Album_Name","Track_Title","Track_Id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","Y"
"6788","Crush","From Midnight To Sunrise","Wonderlust","7eSJZfOFPwhkT4lwvCyZsJ",0.759,0.605,3,-9.473,1,0.0362,0.372,0.314,0.166,0.88,130.047,112827,4,30
"8136","Eddy Kim","The Manual Deluxe Edition","Sober up","3R8JqMUWwy9E7PZd8wauDe",0.767,0.516,11,-9.452,0,0.0601,0.492,2.57e-06,0.0894,0.398,89.995,270593,4,13
"8285","Sung Si Kyung","The Ballads","새로운 버릇","20YTR1mUray3iEFTBoMo0s",0.672,0.533,1,-12.014,0,0.0273,0.6,0.000611,0.107,0.748,136,225413,4,10
"4739","NCT 127","NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage","Boom","1fX2Cec5SwCg7YN2iIZzR7",0.74,0.628,2,-3.355,1,0.143,0.043,1.74e-06,0.12,0.307,104.929,209080,4,31
"2383","SHINee","SHINee WORLD Ⅲ in SEOUL - THE 3rd CONCERT ALBUM","3 2 1 - Korean Version, Live","72uVKxKcJ2ftZFGYloK3qK",0.58,0.891,3,-4.251,1,0.118,0.0222,0,0.957,0.513,147.89,239333,4,16
"2578","2PM","WITH ME AGAIN","URAHARA","7oOR1vMvqXcINHluB196SC",0.541,0.622,3,-4.978,1,0.164,0.515,0,0.0948,0.371,179.757,247387,4,30
"3083","2NE1","2012 2NE1 Global Tour Live New Evolution in Seoul","I Don't Care - Reggae Mix, Live","4JYG4MZXiguOnQpCosHgvn",0.63,0.884,6,-2.836,0,0.166,0.0292,0,0.893,0.61,150.105,237733,4,9
"3033","2NE1","2014 2NE1 World Tour Live - All Or Nothing In Seoul","Don't Stop the Music - Short Version, Live","113qUALBr067xwJ5cMaeFa",0.653,0.926,9,-3.881,0,0.0651,0.00719,0,0.334,0.566,119.974,161490,4,18
"412","BoA","MADE IN TWENTY(20)","KEY OF HEART","3LN5OLANm8W0UdnOXCCbvA",0.601,0.927,0,-4.354,1,0.0359,0.0324,0.000693,0.0813,0.546,108.086,301767,4,21
"573","BoA","ID;Peace B - The 1st Album","ID; Peace B","5rvP5mbQ48itt4dtosn9Yf",0.73,0.844,9,-4.166,0,0.112,0.021,0,0.36,0.679,100.042,238773,4,35
